# OpenSignals Text File Format. Version 1
# {"20:15:05:29:22:23": {"sensor": ["EMGBIT", "EMGBIT", "EMGBIT", "EMGBIT", "EMGBIT", "EMGBIT"], "device name": "20:15:05:29:22:23", "column": ["nSeq", "I1", "I2", "I3", "I4", "A1", "A2", "A3", "A4", "A5", "A6"], "sync interval": 2, "time": "17:26:55.617", "comments": "", "device connection": "BTH20:15:05:29:22:23", "channels": [1, 2, 3, 4, 5, 6], "keywords": "", "convertedValues": 1, "mode": 0, "digital IO": [0, 0, 0, 0, 1, 1, 1, 1], "firmware version": "771", "device": "bitalino", "position": 0, "sampling rate": 1000, "label": ["A1", "A2", "A3", "A4", "A5", "A6"], "resolution": [4, 1, 1, 1, 1, 10, 10, 10, 10, 6, 6], "date": "2019-10-14", "special": [{}, {}, {}, {}, {}, {}]}}
# EndOfHeader
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
0.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
1.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
2.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
3.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
4.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
5.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
6.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
7.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
8.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
9.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
10.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
11.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
12.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
13.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
14.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
15.0	0.0	0.0	0.0	0.0	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	
